topic,verse_ref,verse_content
desires,Proverbs 21:26,"All day long he craves for more, but the righteous give without sparing."
desires,Proverbs 23:5,"Cast but a glance at riches, and they are gone, for they will surely sprout wings and fly off to the sky like an eagle."
desires,Galatians 6:1,"Brothers and sisters, if someone is caught in a sin, you who live by the Spirit should restore that person gently. But watch yourselves, or you also may be tempted."
desires,Matthew 6:13,"And lead us not into temptation, but deliver us from the evil one."
desires,Romans 7:7,"What shall we say, then? Is the law sinful? Certainly not! Nevertheless, I would not have known what sin was had it not been for the law. For I would not have known what coveting really was if the law had not said, “You shall not covet.”"
devil,1 Peter 5:8,Be alert and of sober mind. Your enemy the devil prowls around like a roaring lion looking for someone to devour.
devil,Ephesians 6:12,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms."
devil,Ephesians 6:11,"Put on the full armor of God, so that you can take your stand against the devil’s schemes."
devil,2 Thessalonians 3:3,"But the Lord is faithful, and he will strengthen you and protect you from the evil one."
devil,James 4:7,"Submit yourselves, then, to God. Resist the devil, and he will flee from you."
devil,Ephesians 4:26-27,"“In your anger do not sin”: Do not let the sun go down while you are still angry, and do not give the devil a foothold."
devil,1 John 3:8,"The one who does what is sinful is of the devil, because the devil has been sinning from the beginning. The reason the Son of God appeared was to destroy the devil’s work."
devil,John 8:44,"You belong to your father, the devil, and you want to carry out your father’s desires. He was a murderer from the beginning, not holding to the truth, for there is no truth in him. When he lies, he speaks his native language, for he is a liar and the father of lies."
devil,Romans 16:20,The God of peace will soon crush Satan under your feet. The grace of our Lord Jesus be with you.
devil,1 Corinthians 10:13,"No temptation has overtaken you except what is common to mankind. And God is faithful; he will not let you be tempted beyond what you can bear. But when you are tempted, he will also provide a way out so that you can endure it."
devil,Psalm 119:133,Direct my footsteps according to your word; let no sin rule over me.
devil,Job 1:12,"The Lord said to Satan, “Very well, then, everything he has is in your power, but on the man himself do not lay a finger.” Then Satan went out from the presence of the Lord."
devil,Ephesians 6:13,"Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand."
devil,Matthew 6:13,"And lead us not into temptation, but deliver us from the evil one."
devil,John 17:15,My prayer is not that you take them out of the world but that you protect them from the evil one.
devil,Colossians 1:13-14,"For he has rescued us from the dominion of darkness and brought us into the kingdom of the Son he loves, in whom we have redemption, the forgiveness of sins."
devil,1 Corinthians 7:5,"Do not deprive each other except perhaps by mutual consent and for a time, so that you may devote yourselves to prayer. Then come together again so that Satan will not tempt you because of your lack of self-control."
devil,Acts 5:3-4,"Then Peter said, “Ananias, how is it that Satan has so filled your heart that you have lied to the Holy Spirit and have kept for yourself some of the money you received for the land? Didn’t it belong to you before it was sold? And after it was sold, wasn’t the money at your disposal? What made you think of doing such a thing? You have not lied just to human beings but to God.”"
devil,Luke 4:1-2,"Jesus, full of the Holy Spirit, left the Jordan and was led by the Spirit into the wilderness, where for forty days he was tempted by the devil. He ate nothing during those days, and at the end of them he was hungry."
easter,Matthew 28:5-6,"The angel said to the women, “Do not be afraid, for I know that you are looking for Jesus, who was crucified. He is not here; he has risen, just as he said. Come and see the place where he lay.”"
easter,Luke 24:6-7,"He is not here; he has risen! Remember how he told you, while he was still with you in Galilee: ‘The Son of Man must be delivered over to the hands of sinners, be crucified and on the third day be raised again.’"
easter,1 Peter 1:3,Praise be to the God and Father of our Lord Jesus Christ! In his great mercy he has given us new birth into a living hope through the resurrection of Jesus Christ from the dead.
easter,Mark 16:6,"“Don’t be alarmed,” he said. “You are looking for Jesus the Nazarene, who was crucified. He has risen! He is not here. See the place where they laid him.”"
easter,Matthew 27:28-29,"They stripped him and put a scarlet robe on him, and then twisted together a crown of thorns and set it on his head. They put a staff in his right hand. Then they knelt in front of him and mocked him. “Hail, king of the Jews!” they said."
easter,John 19:30,"When he had received the drink, Jesus said, “It is finished.” With that, he bowed his head and gave up his spirit."
easter,Matthew 20:18-19,"We are going up to Jerusalem, and the Son of Man will be delivered over to the chief priests and the teachers of the law. They will condemn him to death and will hand him over to the Gentiles to be mocked and flogged and crucified. On the third day he will be raised to life!"
easter,1 Peter 2:24,"“He himself bore our sins” in his body on the cross, so that we might die to sins and live for righteousness; “by his wounds you have been healed.”"
easter,Matthew 21:9,"The crowds that went ahead of him and those that followed shouted, “Hosanna to the Son of David!” “Blessed is he who comes in the name of the Lord!” “Hosanna in the highest heaven!”"
easter,Luke 23:46,"Jesus called out with a loud voice, “Father, into your hands I commit my spirit.” When he had said this, he breathed his last."
easter,Psalm 118:25-26,"Lord, save us! Lord, grant us success! Blessed is he who comes in the name of the Lord. From the house of the Lord we bless you."
easter,Mark 14:36,"“Abba, Father,” he said, “everything is possible for you. Take this cup from me. Yet not what I will, but what you will.”"
easter,John 20:8-9,"Finally the other disciple, who had reached the tomb first, also went inside. He saw and believed. (They still did not understand from Scripture that Jesus had to rise from the dead.)"
easter,Matthew 27:37,"Above his head they placed the written charge against him: this is jesus, the king of the jews."
easter,Zechariah 9:9,"Rejoice greatly, Daughter Zion! Shout, Daughter Jerusalem! See, your king comes to you, righteous and victorious, lowly and riding on a donkey, on a colt, the foal of a donkey."
easter,Luke 23:34,"Jesus said, “Father, forgive them, for they do not know what they are doing.” And they divided up his clothes by casting lots."
encouragement,1 Thessalonians 5:11,"Therefore encourage one another and build each other up, just as in fact you are doing."
encouragement,Isaiah 40:31,"But those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint."
encouragement,Isaiah 43:2,"When you pass through the waters, I will be with you; and when you pass through the rivers, they will not sweep over you. When you walk through the fire, you will not be burned; the flames will not set you ablaze."
encouragement,Deuteronomy 31:8,The Lord himself goes before you and will be with you; he will never leave you nor forsake you. Do not be afraid; do not be discouraged.
encouragement,Joshua 1:9,"Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go."
encouragement,2 Corinthians 1:3-4,"Praise be to the God and Father of our Lord Jesus Christ, the Father of compassion and the God of all comfort, who comforts us in all our troubles, so that we can comfort those in any trouble with the comfort we ourselves receive from God."
encouragement,Matthew 11:28,"Come to me, all you who are weary and burdened, and I will give you rest."
encouragement,Psalm 121:1-2,"I lift up my eyes to the mountains— where does my help come from? My help comes from the Lord, the Maker of heaven and earth."
encouragement,1 Corinthians 15:58,"Therefore, my dear brothers and sisters, stand firm. Let nothing move you. Always give yourselves fully to the work of the Lord, because you know that your labor in the Lord is not in vain."
encouragement,Hebrews 10:24-25,"And let us consider how we may spur one another on toward love and good deeds, not giving up meeting together, as some are in the habit of doing, but encouraging one another—and all the more as you see the Day approaching."
encouragement,Psalm 32:8,I will instruct you and teach you in the way you should go; I will counsel you with my loving eye on you.
encouragement,Psalm 31:24,"Be strong and take heart, all you who hope in the Lord."
encouragement,1 Corinthians 16:13,Be on your guard; stand firm in the faith; be courageous; be strong.
encouragement,John 16:33,"I have told you these things, so that in me you may have peace. In this world you will have trouble. But take heart! I have overcome the world."
encouragement,Proverbs 14:23,"All hard work brings a profit, but mere talk leads only to poverty."
encouragement,Psalm 23:4,"Even though I walk through the darkest valley, I will fear no evil, for you are with me; your rod and your staff, they comfort me."
encouragement,John 14:27,Peace I leave with you; my peace I give you. I do not give to you as the world gives. Do not let your hearts be troubled and do not be afraid.
encouragement,2 Corinthians 4:17,For our light and momentary troubles are achieving for us an eternal glory that far outweighs them all.
encouragement,Isaiah 43:4,"Since you are precious and honored in my sight, and because I love you, I will give people in exchange for you, nations in exchange for your life."
encouragement,Romans 8:31,"What, then, shall we say in response to these things? If God is for us, who can be against us?"
encouragement,Romans 15:5,May the God who gives endurance and encouragement give you the same attitude of mind toward each other that Christ Jesus had.
encouragement,Psalm 90:17,"May the favor of the Lord our God rest on us; establish the work of our hands for us— yes, establish the work of our hands."
encouragement,Luke 12:6-7,"Are not five sparrows sold for two pennies? Yet not one of them is forgotten by God. Indeed, the very hairs of your head are all numbered. Don’t be afraid; you are worth more than many sparrows."
encouragement,Romans 15:2,"Each of us should please our neighbors for their good, to build them up."
encouragement,2 Corinthians 4:16,"Therefore we do not lose heart. Though outwardly we are wasting away, yet inwardly we are being renewed day by day."
equipment,Hebrews 10:24-25,"And let us consider how we may spur one another on toward love and good deeds, not giving up meeting together, as some are in the habit of doing, but encouraging one another—and all the more as you see the Day approaching."
equipment,Ephesians 6:11,"Put on the full armor of God, so that you can take your stand against the devil’s schemes."
equipment,2 Timothy 3:16-17,"All Scripture is God-breathed and is useful for teaching, rebuking, correcting and training in righteousness, so that the servant of God may be thoroughly equipped for every good work."
equipment,Isaiah 41:10,"So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you; I will uphold you with my righteous right hand."
equipment,Proverbs 3:5-6,"Trust in the Lord with all your heart and lean not on your own understanding; in all your ways submit to him, and he will make your paths straight."
equipment,Psalm 16:8,"I keep my eyes always on the Lord. With him at my right hand, I will not be shaken."
equipment,Isaiah 40:29,He gives strength to the weary and increases the power of the weak.
equipment,Psalm 119:9,How can a young person stay on the path of purity? By living according to your word.
equipment,Isaiah 46:4,"Even to your old age and gray hairs I am he, I am he who will sustain you. I have made you and I will carry you; I will sustain you and I will rescue you."
equipment,Habakkuk 3:19,"The Sovereign Lord is my strength; he makes my feet like the feet of a deer, he enables me to tread on the heights."
equipment,Romans 8:26,"In the same way, the Spirit helps us in our weakness. We do not know what we ought to pray for, but the Spirit himself intercedes for us through wordless groans."
equipment,Colossians 2:9-10,"For in Christ all the fullness of the Deity lives in bodily form, and in Christ you have been brought to fullness. He is the head over every power and authority."
equipment,Romans 14:4,"Who are you to judge someone else’s servant? To their own master, servants stand or fall. And they will stand, for the Lord is able to make them stand."
equipment,Psalm 54:4,Surely God is my help; the Lord is the one who sustains me.
equipment,John 7:37,"On the last and greatest day of the festival, Jesus stood and said in a loud voice, “Let anyone who is thirsty come to me and drink.”"
eternal-life,John 10:28-30,"I give them eternal life, and they shall never perish; no one will snatch them out of my hand. My Father, who has given them to me, is greater than all; no one can snatch them out of my Father’s hand. I and the Father are one."
eternal-life,Proverbs 8:35,For those who find me find life and receive favor from the Lord.
eternal-life,1 Peter 5:10,"And the God of all grace, who called you to his eternal glory in Christ, after you have suffered a little while, will himself restore you and make you strong, firm and steadfast."
eternal-life,1 John 2:17,"The world and its desires pass away, but whoever does the will of God lives forever."
eternal-life,2 Corinthians 4:18,"So we fix our eyes not on what is seen, but on what is unseen, since what is seen is temporary, but what is unseen is eternal."
eternal-life,1 John 5:11,"And this is the testimony: God has given us eternal life, and this life is in his Son."
eternal-life,John 3:16,"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life."
eternal-life,2 Corinthians 4:17,For our light and momentary troubles are achieving for us an eternal glory that far outweighs them all.
eternal-life,1 John 5:13,I write these things to you who believe in the name of the Son of God so that you may know that you have eternal life.
eternal-life,Psalm 139:23-24,"Search me, God, and know my heart; test me and know my anxious thoughts. See if there is any offensive way in me, and lead me in the way everlasting."
eternal-life,John 17:3,"Now this is eternal life: that they know you, the only true God, and Jesus Christ, whom you have sent."
eternal-life,Romans 6:23,"For the wages of sin is death, but the gift of God is eternal life in Christ Jesus our Lord."
eternal-life,Revelation 21:3-4,"And I heard a loud voice from the throne saying, “Look! God’s dwelling place is now among the people, and he will dwell with them. They will be his people, and God himself will be with them and be their God. ‘He will wipe every tear from their eyes. There will be no more death’ or mourning or crying or pain, for the old order of things has passed away.”"
eternal-life,John 3:36,"Whoever believes in the Son has eternal life, but whoever rejects the Son will not see life, for God’s wrath remains on them."
eternal-life,1 Timothy 6:12,Fight the good fight of the faith. Take hold of the eternal life to which you were called when you made your good confession in the presence of many witnesses.
eternal-life,Matthew 7:13-14,"Enter through the narrow gate. For wide is the gate and broad is the road that leads to destruction, and many enter through it. But small is the gate and narrow the road that leads to life, and only a few find it."
eternal-life,Romans 8:18,I consider that our present sufferings are not worth comparing with the glory that will be revealed in us.
eternal-life,John 4:14,"But whoever drinks the water I give them will never thirst. Indeed, the water I give them will become in them a spring of water welling up to eternal life."
eternal-life,Matthew 10:39,"Whoever finds their life will lose it, and whoever loses their life for my sake will find it."
eternal-life,Revelation 1:8,"“I am the Alpha and the Omega,” says the Lord God, “who is, and who was, and who is to come, the Almighty.”"
eternal-life,Galatians 6:8,"Whoever sows to please their flesh, from the flesh will reap destruction; whoever sows to please the Spirit, from the Spirit will reap eternal life."
eternal-life,1 Timothy 1:16,"But for that very reason I was shown mercy so that in me, the worst of sinners, Christ Jesus might display his immense patience as an example for those who would believe in him and receive eternal life."
eternal-life,Hebrews 7:25,"Therefore he is able to save completely those who come to God through him, because he always lives to intercede for them."
eternal-life,Romans 5:21,"So that, just as sin reigned in death, so also grace might reign through righteousness to bring eternal life through Jesus Christ our Lord."
eternal-life,Revelation 7:16-17,"‘Never again will they hunger; never again will they thirst. The sun will not beat down on them,’ nor any scorching heat. For the Lamb at the center of the throne will be their shepherd; ‘he will lead them to springs of living water.’ ‘And God will wipe away every tear from their eyes.’"
evangelism,Acts 13:47,"For this is what the Lord has commanded us: “I have made you a light for the Gentiles, that you may bring salvation to the ends of the earth.”"
evangelism,Mark 16:15,"He said to them, “Go into all the world and preach the gospel to all creation.”"
evangelism,Acts 20:24,"However, I consider my life worth nothing to me; my only aim is to finish the race and complete the task the Lord Jesus has given me—the task of testifying to the good news of God’s grace."
evangelism,Matthew 5:15-16,"Neither do people light a lamp and put it under a bowl. Instead they put it on its stand, and it gives light to everyone in the house. In the same way, let your light shine before others, that they may see your good deeds and glorify your Father in heaven."
evangelism,Matthew 28:19-20,"Therefore go and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, and teaching them to obey everything I have commanded you. And surely I am with you always, to the very end of the age."
evangelism,Romans 1:16,"For I am not ashamed of the gospel, because it is the power of God that brings salvation to everyone who believes: first to the Jew, then to the Gentile."
evangelism,Psalm 105:1,"Give praise to the Lord, proclaim his name; make known among the nations what he has done."
evangelism,Romans 10:17,"Consequently, faith comes from hearing the message, and the message is heard through the word about Christ."
evangelism,1 Peter 3:15,But in your hearts revere Christ as Lord. Always be prepared to give an answer to everyone who asks you to give the reason for the hope that you have. But do this with gentleness and respect.
evangelism,1 Corinthians 15:1-2,"Now, brothers and sisters, I want to remind you of the gospel I preached to you, which you received and on which you have taken your stand. By this gospel you are saved, if you hold firmly to the word I preached to you. Otherwise, you have believed in vain."
evangelism,Luke 4:18,"The Spirit of the Lord is on me, because he has anointed me to proclaim good news to the poor. He has sent me to proclaim freedom for the prisoners and recovery of sight for the blind, to set the oppressed free."
evangelism,Matthew 5:14,You are the light of the world. A town built on a hill cannot be hidden.
evangelism,2 Thessalonians 2:14,"He called you to this through our gospel, that you might share in the glory of our Lord Jesus Christ."
evangelism,Mark 8:35,"For whoever wants to save their life will lose it, but whoever loses their life for me and for the gospel will save it."
evangelism,2 Timothy 4:2,"Preach the word; be prepared in season and out of season; correct, rebuke and encourage—with great patience and careful instruction."
evangelism,Isaiah 12:4,"In that day you will say: “Give praise to the Lord, proclaim his name; make known among the nations what he has done, and proclaim that his name is exalted.”"
evangelism,Titus 2:1,"You, however, must teach what is appropriate to sound doctrine."
evangelism,John 13:35,"By this everyone will know that you are my disciples, if you love one another."
evangelism,Matthew 4:17,"From that time on Jesus began to preach, “Repent, for the kingdom of heaven has come near.”"
evangelism,Ezekiel 38:23,"And so I will show my greatness and my holiness, and I will make myself known in the sight of many nations. Then they will know that I am the Lord."
evangelism,Matthew 5:13,"You are the salt of the earth. But if the salt loses its saltiness, how can it be made salty again? It is no longer good for anything, except to be thrown out and trampled underfoot."
evangelism,Mark 10:29-30,"“Truly I tell you,” Jesus replied, “no one who has left home or brothers or sisters or mother or father or children or fields for me and the gospel will fail to receive a hundred times as much in this present age: homes, brothers, sisters, mothers, children and fields—along with persecutions—and in the age to come eternal life.”"
evangelism,John 15:8,"This is to my Father’s glory, that you bear much fruit, showing yourselves to be my disciples."
evangelism,Acts 1:8,"But you will receive power when the Holy Spirit comes on you; and you will be my witnesses in Jerusalem, and in all Judea and Samaria, and to the ends of the earth."
evangelism,Colossians 1:27,"To them God has chosen to make known among the Gentiles the glorious riches of this mystery, which is Christ in you, the hope of glory."
evil,Romans 12:21,"Do not be overcome by evil, but overcome evil with good."
evil,Psalm 121:7-8,The Lord will keep you from all harm— he will watch over your life; the Lord will watch over your coming and going both now and forevermore.
evil,Ephesians 6:11,"Put on the full armor of God, so that you can take your stand against the devil’s schemes."
evil,Romans 16:17,"I urge you, brothers and sisters, to watch out for those who cause divisions and put obstacles in your way that are contrary to the teaching you have learned. Keep away from them."
evil,Ephesians 6:12,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms."
evil,Mark 7:20-23,"He went on: “What comes out of a person is what defiles them. For it is from within, out of a person’s heart, that evil thoughts come—sexual immorality, theft, murder, adultery, greed, malice, deceit, lewdness, envy, slander, arrogance and folly. All these evils come from inside and defile a person.”"
evil,Proverbs 8:13,"To fear the Lord is to hate evil; I hate pride and arrogance, evil behavior and perverse speech."
evil,Genesis 50:20,"You intended to harm me, but God intended it for good to accomplish what is now being done, the saving of many lives."
evil,1 Thessalonians 5:15,"Make sure that nobody pays back wrong for wrong, but always strive to do what is good for each other and for everyone else."
evil,Ephesians 4:26-27,"“In your anger do not sin”: Do not let the sun go down while you are still angry, and do not give the devil a foothold."
evil,1 Thessalonians 5:21-22,"But test them all; hold on to what is good, reject every kind of evil."
evil,Romans 12:9,Love must be sincere. Hate what is evil; cling to what is good.
evil,Proverbs 3:7-8,Do not be wise in your own eyes; fear the Lord and shun evil. This will bring health to your body and nourishment to your bones.
evil,Psalm 97:10,"Let those who love the Lord hate evil, for he guards the lives of his faithful ones and delivers them from the hand of the wicked."
evil,Psalm 34:14,Turn from evil and do good; seek peace and pursue it.
evil,Proverbs 10:12,"Hatred stirs up conflict, but love covers over all wrongs."
evil,John 17:15,My prayer is not that you take them out of the world but that you protect them from the evil one.
evil,2 Timothy 4:18,The Lord will rescue me from every evil attack and will bring me safely to his heavenly kingdom. To him be glory for ever and ever. Amen.
evil,Zechariah 7:9-10,"This is what the Lord Almighty said: ‘Administer true justice; show mercy and compassion to one another. Do not oppress the widow or the fatherless, the foreigner or the poor. Do not plot evil against each other.’"
evil,Isaiah 1:16,Wash and make yourselves clean. Take your evil deeds out of my sight; stop doing wrong.
evil,Psalm 119:133,Direct my footsteps according to your word; let no sin rule over me.
evil,Matthew 6:13,"And lead us not into temptation, but deliver us from the evil one."
evil,John 1:5,"The light shines in the darkness, and the darkness has not overcome it."
evil,James 1:21,"Therefore, get rid of all moral filth and the evil that is so prevalent and humbly accept the word planted in you, which can save you."
evil,1 John 1:9,"If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness."
faith,Mark 11:24,"Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours."
faith,Ephesians 3:16-17,"I pray that out of his glorious riches he may strengthen you with power through his Spirit in your inner being, so that Christ may dwell in your hearts through faith. And I pray that you, being rooted and established in love."
faith,Hebrews 11:1,Now faith is confidence in what we hope for and assurance about what we do not see.
faith,2 Corinthians 5:7,"For we live by faith, not by sight."
faith,Romans 15:13,"May the God of hope fill you with all joy and peace as you trust in him, so that you may overflow with hope by the power of the Holy Spirit."
faith,James 1:6,"But when you ask, you must believe and not doubt, because the one who doubts is like a wave of the sea, blown and tossed by the wind."
faith,Hebrews 11:6,"And without faith it is impossible to please God, because anyone who comes to him must believe that he exists and that he rewards those who earnestly seek him."
faith,John 11:40,"Then Jesus said, “Did I not tell you that if you believe, you will see the glory of God?”"
faith,Mark 9:23,“‘If you can’?” said Jesus. “Everything is possible for one who believes.”
faith,James 1:3,Because you know that the testing of your faith produces perseverance.
faith,1 Peter 1:8-9,"Though you have not seen him, you love him; and even though you do not see him now, you believe in him and are filled with an inexpressible and glorious joy, for you are receiving the end result of your faith, the salvation of your souls."
faith,John 11:25-26,"Jesus said to her, “I am the resurrection and the life. The one who believes in me will live, even though they die; and whoever lives by believing in me will never die. Do you believe this?”"
faith,Matthew 21:22,"If you believe, you will receive whatever you ask for in prayer."
faith,1 John 5:4,"For everyone born of God overcomes the world. This is the victory that has overcome the world, even our faith."
faith,Romans 14:1,"Accept the one whose faith is weak, without quarreling over disputable matters."
faith,1 Timothy 6:11,"But you, man of God, flee from all this, and pursue righteousness, godliness, faith, love, endurance and gentleness."
faith,Mark 10:52,"“Go,” said Jesus, “your faith has healed you.” Immediately he received his sight and followed Jesus along the road."
faith,1 Corinthians 13:2,"If I have the gift of prophecy and can fathom all mysteries and all knowledge, and if I have a faith that can move mountains, but do not have love, I am nothing."
faith,1 Corinthians 16:13,Be on your guard; stand firm in the faith; be courageous; be strong.
faith,John 6:35,"Then Jesus declared, “I am the bread of life. Whoever comes to me will never go hungry, and whoever believes in me will never be thirsty.”"
faith,Psalm 119:30,I have chosen the way of faithfulness; I have set my heart on your laws.
faith,Romans 10:10,"For it is with your heart that you believe and are justified, and it is with your mouth that you profess your faith and are saved."
faith,Hebrews 11:11,"And by faith even Sarah, who was past childbearing age, was enabled to bear children because she considered him faithful who had made the promise."
faith,James 5:14-15,"Is anyone among you sick? Let them call the elders of the church to pray over them and anoint them with oil in the name of the Lord. And the prayer offered in faith will make the sick person well; the Lord will raise them up. If they have sinned, they will be forgiven."
faith,Romans 1:17,"For in the gospel the righteousness of God is revealed—a righteousness that is by faith from first to last, just as it is written: “The righteous will live by faith.”"
faithfulness,Lamentations 3:22-23,"Because of the Lord’s great love we are not consumed, for his compassions never fail. They are new every morning; great is your faithfulness."
faithfulness,2 Thessalonians 3:3,"But the Lord is faithful, and he will strengthen you and protect you from the evil one."
faithfulness,1 Thessalonians 5:24,"The one who calls you is faithful, and he will do it."
faithfulness,Proverbs 3:3-4,"Let love and faithfulness never leave you; bind them around your neck, write them on the tablet of your heart. Then you will win favor and a good name in the sight of God and man."
faithfulness,Hebrews 10:23,"Let us hold unswervingly to the hope we profess, for he who promised is faithful."
faithfulness,Deuteronomy 7:9,"Know therefore that the Lord your God is God; he is the faithful God, keeping his covenant of love to a thousand generations of those who love him and keep his commandments."
faithfulness,Isaiah 25:1,"Lord, you are my God; I will exalt you and praise your name, for in perfect faithfulness you have done wonderful things, things planned long ago."
faithfulness,1 Chronicles 16:34,"Give thanks to the Lord, for he is good; his love endures forever."
faithfulness,1 Corinthians 10:13,"No temptation has overtaken you except what is common to mankind. And God is faithful; he will not let you be tempted beyond what you can bear. But when you are tempted, he will also provide a way out so that you can endure it."
faithfulness,Psalm 91:4,"He will cover you with his feathers, and under his wings you will find refuge; his faithfulness will be your shield and rampart."
faithfulness,2 Thessalonians 3:5,May the Lord direct your hearts into God’s love and Christ’s perseverance.
faithfulness,1 Corinthians 1:9,"God is faithful, who has called you into fellowship with his Son, Jesus Christ our Lord."
faithfulness,Psalm 145:17,The Lord is righteous in all his ways and faithful in all he does.
faithfulness,Proverbs 2:8,For he guards the course of the just and protects the way of his faithful ones.
faithfulness,Psalm 103:17-18,"But from everlasting to everlasting the Lord’s love is with those who fear him, and his righteousness with their children’s children— with those who keep his covenant and remember to obey his precepts."
faithfulness,1 John 1:9,"If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness."
faithfulness,Psalm 115:1,"Not to us, Lord, not to us but to your name be the glory, because of your love and faithfulness."
faithfulness,Psalm 138:8,"The Lord will vindicate me; your love, Lord, endures forever— do not abandon the works of your hands."
faithfulness,Psalm 40:11,"Do not withhold your mercy from me, Lord; may your love and faithfulness always protect me."
faithfulness,Habakkuk 2:4,"See, the enemy is puffed up; his desires are not upright— but the righteous person will live by his faithfulness."
faithfulness,Psalm 97:10,"Let those who love the Lord hate evil, for he guards the lives of his faithful ones and delivers them from the hand of the wicked."
faithfulness,Psalm 143:1,"Lord, hear my prayer, listen to my cry for mercy; in your faithfulness and righteousness come to my relief."
faithfulness,Psalm 37:28,For the Lord loves the just and will not forsake his faithful ones. Wrongdoers will be completely destroyed; the offspring of the wicked will perish.
family,Deuteronomy 6:6-7,"These commandments that I give you today are to be on your hearts. Impress them on your children. Talk about them when you sit at home and when you walk along the road, when you lie down and when you get up."
family,Acts 16:31,"They replied, “Believe in the Lord Jesus, and you will be saved—you and your household.”"
family,1 Corinthians 1:10,"I appeal to you, brothers and sisters, in the name of our Lord Jesus Christ, that all of you agree with one another in what you say and that there be no divisions among you, but that you be perfectly united in mind and thought."
family,Proverbs 6:20,"My son, keep your father’s command and do not forsake your mother’s teaching."
family,1 John 4:20,"Whoever claims to love God yet hates a brother or sister is a liar. For whoever does not love their brother and sister, whom they have seen, cannot love God, whom they have not seen."
family,Psalm 133:1,How good and pleasant it is when God’s people live together in unity!
family,Psalm 103:17-18,"But from everlasting to everlasting the Lord’s love is with those who fear him, and his righteousness with their children’s children— with those who keep his covenant and remember to obey his precepts."
family,Isaiah 49:15-16,"Can a mother forget the baby at her breast and have no compassion on the child she has borne? Though she may forget, I will not forget you! See, I have engraved you on the palms of my hands; your walls are ever before me."
family,Proverbs 22:6,"Start children off on the way they should go, and even when they are old they will not turn from it."
family,Ephesians 6:4,"Fathers, do not exasperate your children; instead, bring them up in the training and instruction of the Lord."
family,1 Timothy 5:8,"Anyone who does not provide for their relatives, and especially for their own household, has denied the faith and is worse than an unbeliever."
family,Exodus 20:12,"Honor your father and your mother, so that you may live long in the land the Lord your God is giving you."
family,Proverbs 17:6,"Children’s children are a crown to the aged, and parents are the pride of their children."
family,Proverbs 17:17,"A friend loves at all times, and a brother is born for a time of adversity."
family,1 Kings 8:57,May the Lord our God be with us as he was with our ancestors; may he never leave us nor forsake us.
family,Proverbs 18:24,"One who has unreliable friends soon comes to ruin, but there is a friend who sticks closer than a brother."
family,1 John 3:2-3,"Dear friends, now we are children of God, and what we will be has not yet been made known. But we know that when Christ appears, we shall be like him, for we shall see him as he is. All who have this hope in him purify themselves, just as he is pure."
family,Joshua 24:15,"But if serving the Lord seems undesirable to you, then choose for yourselves this day whom you will serve, whether the gods your ancestors served beyond the Euphrates, or the gods of the Amorites, in whose land you are living. But as for me and my household, we will serve the Lord."
family,Luke 11:13,"If you then, though you are evil, know how to give good gifts to your children, how much more will your Father in heaven give the Holy Spirit to those who ask him!"
family,Proverbs 23:24,The father of a righteous child has great joy; a man who fathers a wise son rejoices in him.
family,Proverbs 23:15,"My son, if your heart is wise, then my heart will be glad indeed."
family,Proverbs 10:1,"A wise son brings joy to his father, but a foolish son brings grief to his mother."
family,Matthew 19:18b-19,"‘You shall not murder, you shall not commit adultery, you shall not steal, you shall not give false testimony, honor your father and mother,’ and ‘love your neighbor as yourself.’"
family,Proverbs 27:10,"Do not forsake your friend or a friend of your family, and do not go to your relative’s house when disaster strikes you— better a neighbor nearby than a relative far away."
fasting,Isaiah 58:6,"Is not this the kind of fasting I have chosen: to loose the chains of injustice and untie the cords of the yoke, to set the oppressed free and break every yoke?"
fasting,Ezra 8:23,"So we fasted and petitioned our God about this, and he answered our prayer."
fasting,Matthew 6:17-18,"But when you fast, put oil on your head and wash your face, so that it will not be obvious to others that you are fasting, but only to your Father, who is unseen; and your Father, who sees what is done in secret, will reward you."
fasting,Joel 2:12,"“Even now,” declares the Lord, “return to me with all your heart, with fasting and weeping and mourning.”"
fasting,Matthew 6:16,"When you fast, do not look somber as the hypocrites do, for they disfigure their faces to show others they are fasting. Truly I tell you, they have received their reward in full."
fasting,Daniel 10:3,I ate no choice food; no meat or wine touched my lips; and I used no lotions at all until the three weeks were over.
fasting,Acts 13:3,"So after they had fasted and prayed, they placed their hands on them and sent them off."
